"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_MYC_TARGETS_V2","A subgroup of genes regulated by MYC - version 2 (v2).",58,-0.759849434253738,-2.85374512771868,1e-10,1.66666666666667e-09,1.08771929824561e-09,2219,"tags=60%, list=16%, signal=51%","1019/10171/9238/4609/10528/6832/4174/1844/56342/2193/6573/5347/79050/5245/10244/705/7374/10514/9136/80324/51491/54663/5036/23481/79077/51154/23223/92856/23082/6949/6723/56915/7965/81887/83743",NA
"HALLMARK_MYC_TARGETS_V1","A subgroup of genes regulated by MYC - version 1 (v1).",200,-0.535221297464996,-2.42344991911923,1e-10,1.66666666666667e-09,1.08771929824561e-09,2473,"tags=38%, list=17%, signal=31%","6193/10291/1854/2547/10907/6632/6637/1019/991/6742/3183/6626/1017/23016/4609/7458/5425/28973/51690/10574/9377/5691/3184/10528/6627/4176/4171/3735/8318/54107/5709/790/4174/7332/328/55651/1478/6141/3068/708/5496/2079/7203/4953/7284/10155/1503/22948/5245/3608/8662/5901/5902/9136/3015/65005/51491/4830/7298/10549/5036/4706/26121/10856/7416/2091/6723/5688/23450/7965/2806/10921/5704/6633/5714",NA
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","Genes encoding proteins involved in oxidative phosphorylation.",197,-0.507171707479223,-2.30343256696321,1e-10,1.66666666666667e-09,1.08771929824561e-09,3795,"tags=56%, list=27%, signal=42%","7388/29088/6834/9167/537/6391/37/3052/3030/7385/30/2230/517/6389/10884/4695/3421/1349/4702/5250/10939/4708/4724/50/1727/54884/4710/1743/4191/529/4709/8402/4720/5018/8992/4722/11331/4713/4967/1329/374291/1374/27089/1431/1892/513/7384/2271/4259/1351/26520/4728/9296/4723/518/10632/4694/1632/29796/788/506/65003/4726/64981/9377/26521/5435/292/4712/26517/1891/4717/1352/6832/522/23479/10476/89941/521/2821/56993/3028/1337/1327/5160/4696/64963/9551/581/4697/4700/8802/23203/2109/291/516/9131/10975/9927/80273/6390/3420/4706/26519/1340/7416/7386/514/6183/2806/92609",NA
"HALLMARK_UV_RESPONSE_DN","Genes down-regulated in response to ultraviolet (UV) radiation.",134,0.474202308609161,2.20936384662723,2.77366821993256e-08,3.0215325725233e-07,1.97194757364678e-07,2354,"tags=35%, list=17%, signal=30%","6310/8503/3480/120/5577/5332/8455/861/8613/3488/8821/2650/1027/8405/2202/493/5728/1277/92/50937/2534/10611/627/8476/1432/7436/8997/5581/27032/657/5578/594/23469/6334/4233/1739/2908/9863/1859/4781/3382/546/4131/25836/27109/8621/5922",0.73376198835648
"HALLMARK_DNA_REPAIR","Genes involved in DNA repair.",147,-0.495132157539169,-2.16492319750311,3.0215325725233e-08,3.0215325725233e-07,1.97194757364678e-07,3281,"tags=45%, list=23%, signal=35%","10978/6878/54487/5111/4832/1642/1716/7936/1643/3704/7157/203/2987/404672/5439/1854/10134/23649/9328/8237/56655/4350/5424/8721/29901/1687/30833/5434/9883/1603/8086/6749/11130/2962/5435/978/5436/8178/5888/79720/6895/5982/9013/6118/5430/29927/64976/124583/353/2067/6621/5438/10189/9533/2068/51497/2237/4830/5432/100/7298/4860/11047/8480/3978/6829",0.719512826338911
"HALLMARK_HEME_METABOLISM","Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.",168,0.428211595941959,2.06883374764376,8.7753092846854e-08,7.31275773723783e-07,4.77253662851311e-07,1679,"tags=26%, list=12%, signal=23%","25897/665/10133/4891/11163/2309/8945/9429/847/129642/51274/8301/55030/2035/22936/4140/9562/2145/6386/831/114625/6917/51646/4601/7716/7504/27102/25901/8780/220972/79269/10181/571/23365/7029/9663/9258/8850/4329/3321/23112/23002/2908/80853",0.704975715167238
"HALLMARK_E2F_TARGETS","Genes encoding cell cycle related targets of E2F transcription factors.",200,-0.421663178142522,-1.90926556884983,8.01268486856416e-07,5.72334633468869e-06,3.73523655527051e-06,2935,"tags=38%, list=21%, signal=31%","6427/7157/57405/29089/83461/9232/6117/4292/4605/9319/3159/1854/2547/79019/23649/898/27338/64858/7283/6941/1019/991/56655/5424/9212/1163/5426/9238/3609/4609/203068/1164/5425/993/55723/1029/6749/3184/1786/10528/4176/5631/4171/3835/204/64785/1026/994/7083/84844/6839/4174/4172/146909/10248/5982/10212/3014/6118/10460/6628/6241/5347/1503/8914/7374/197335/5901/5902/3015/4830/51155/10549/5036/79077/332/3978",0.659444398037935
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","Genes up-regulated during unfolded protein response, a cellular stress response related to the endoplasmic reticulum.",112,-0.418331153501506,-1.74248306021306,0.000433326186250187,0.00270828866406367,0.00176751470707313,2316,"tags=30%, list=16%, signal=26%","10897/10775/6734/5394/1163/51013/30827/9797/8570/28972/8815/5832/10528/7709/58477/9531/23404/55651/3014/50628/7280/23644/9709/1981/9136/55272/55738/9775/2521/8602/9114/7466/6464/56915",0.49849310876659
"HALLMARK_ANDROGEN_RESPONSE","Genes defining response to androgens.",95,0.388127226630724,1.69167398907921,0.00178524293707278,0.00811474062305809,0.00529593598557476,1419,"tags=27%, list=10%, signal=25%","7163/25816/6414/84159/8555/6446/23171/658/65986/22936/8821/51465/11057/79689/3248/23585/3685/2181/10611/9053/10461/10513/9455/4117/3977/6197",0.45505986738723
"HALLMARK_XENOBIOTIC_METABOLISM","Genes encoding proteins involved in processing of drugs and other xenobiotics.",150,-0.379181839056157,-1.66714801169136,0.000669984596166724,0.00372213664537069,0.00242918391592613,3593,"tags=44%, list=25%, signal=33%","2099/51181/3728/9361/57447/2184/5467/3487/26007/3484/50/57406/435/9060/5372/26999/54884/1652/115817/8310/9536/6472/6560/5909/1728/10400/3931/54498/9054/223/5091/2937/64087/978/191/1312/1891/55748/3735/65018/873/348/10237/7132/9446/1969/218/28959/6510/4836/10653/8644/4522/2618/645/1646/3172/2192/9564/29950/5226/126/7378/4502/5950/29785",0.477270815362862
